Acronym,Name,Organization,ID,Rating
APEMC,"Electromagnetic Compatibility and International Zurich Symposium on Electromagnetic Compatibility, Asia-Pacific Symp on",IEEE,44,0
APM,"Advanced Packaging Materials: Processes, Properties and Interface, International Symposium on",IEEE,45,0
APMC,"Microwave Conference, Asia Pacific",IEEE,46,0
APMRC,"Magnetic Recording Conference, Asia Pacific",IEEE,47,0
AP-MWP,"Microwave Photonics, International Topical Meeting on (MWP) & Microwave Photonics Conference, 2008 Asia-Pacific (AP-MWP)",IEEE,48,0
APOS,"Optical Fiber Sensors Conference, Asia-Pacific",IEEE,49,0
APSAR,"Synthetic Aperture Radar, Asian and Pacific Conference on",IEEE,50,0
APSCC,"Asia-Pacific Services Computing Conference, IEEE",IEEE,51,0
APSEC,"Software Engineering Conference, Asia Pacific",IEEE,52,0
APSITT,"Information and Telecommunication Technologies, Asia-Pacific Symposium on",IEEE,53,0
APVIS,"Visualization (APVIS), International Asia-Pacific Symposium on",IEEE,54,0
AQTR,"Automation, Quality and Testing, Robotics, IEEE International Conference on",IEEE,55,0
ARES,"Availability Reliability and Security, International Conference on",IEEE,56,0
ARFTG,ARFTG Conference,IEEE,57,0
ARITH,"Computer Arithmetic, IEEE Symposium on",IEEE,58,0
ARSO,"Advanced Robotics and its Social Impacts, IEEE Workshop on",IEEE,59,0
ASAP,Application-Specific Systems Architecture and Processors,IEEE,60,0
ASDAM,"Advanced Semiconductor Devices and Microsystems, International Conference on",IEEE,61,0
ASE,"Automated Software Engineering, IEEE/ACM International Conference on",IEEE,62,0
ASIC,"ASIC, International Conference on",IEEE,63,0
ASICON,"ASIC,  International Conference on",IEEE,64,0
ASID,"Anti-counterfeiting, Security and Identification, International Workshop on",IEEE,65,0
ASILOMAR,"Signals, Systems and Computers, Asilomar Conference on",IEEE,66,0
ASMC,"Advanced Semiconductor Manufacturing Conference, IEEE/SEMI",IEEE,67,0
ASMS,Advanced Satellite Mobile Systems Conference,IEEE,68,0
ASPCC,"Computing Conference, IEEE Asia-Pacific Services",IEEE,69,0
ASP-DAC,"Design Automation Conference, Asia and South Pacific",IEEE,70,0
ASRU,"Automatic Speech Recognition & Understanding, IEEE Workshop on",IEEE,71,0
ASSCC,"Solid-State Circuits Conference, 2005 Asian",IEEE,72,0
A-SSCC,"Solid-State Circuits Conference, IEEE Asian",IEEE,73,0
AST,"Automation of Software Test, International Workshop on",IEEE,74,0
ASWEC,"Software Engineering Conference, Australian",IEEE,75,0
ASYNC,"Asynchronous Circuits and Systems, IEEE International Symposium on",IEEE,76,0
ATLC,"Science, Technology and Innovation Policy, Atlanta Conference on",IEEE,77,0
ATM,"High Performance Switching and Routing, Workshop on",IEEE,78,0
ATNAC,"Telecommunication Networks and Applications Conference, Australasian",IEEE,79,0
ATS,"Asian Test Symposium, IEEE",IEEE,80,0
AUPEC,"Power Engineering, Australasian Universities",IEEE,81,0
AuRE,"Automotive Requirements Engineering Workshop, International",IEEE,82,0
AUSC,"Communication Theory Workshop, Australian",IEEE,83,0
AUSCTW,"Communications Theory Workshop, Australian",IEEE,84,0
AusWireless,"Wireless Broadband and Ultra Wideband Communications, Australian Conference on",IEEE,85,0
AUTOID,"Automatic Identification Advanced Technologies, IEEE Workshop on",IEEE,86,0
AUTOTESTCON,"Autotestcon, IEEE",IEEE,87,0
AVFOP,"Avionics, Fiber-Optics and Photonics Technology Conference, IEEE",IEEE,88,0
AVSS,"Advanced Video and Signal Based Surveillance, IEEE Conference on",IEEE,89,0
AXEDIS,"Automated Production of Cross Media, International Conference on",IEEE,90,0
AXMEDIS,"Automated Production of Cross Media Content for Multi-Channel Distribution, International Conference on",IEEE,91,0
BALTIC,"Baltic International Symposium, 2008 IEEE/OES US/EU-",IEEE,92,0
BBEurope,"Broadband Europe, 2007",IEEE,93,0
BCN,"Broadband Convergence Networks, 2006 1st IEEE International Workshop on",IEEE,94,0
BCTM,"Bipolar/BiCMOS Circuits and Technology Meeting, 2006 IEEE",IEEE,95,0
BDIM,"Business-Driven IT Management, 2007 2nd IEEE/IFIP International Workshop on",IEEE,96,0
BEC,"Baltic Electronics Conference, 2006 International Biennal",IEEE,97,0
BIBE,"Bioinformatics and BioEngineering, 2006 6th IEEE International Symposium on",IEEE,98,0
BIBM,"Bioinformatics and Biomedicine (BIBM), 2007 IEEE International Conference on",IEEE,99,0
BIBM wkshp,"Bioinformatics and Biomedicine Workshops, 2007 IEEE International Conference on",IEEE,100,0
BioCAS,"Biomedical Circuits and Systems Conference, 2006 IEEE",IEEE,101,0
BIOROB,"Biomedical Robotics and Biomechatronics, 2006 1st IEEE RAS & EMBS Intl Conf on",IEEE,102,0
BIOTECHNO,"Biocomputation, Bioinformatics, and Biomedical Technologies BIOTECHNO, 2008 International Conference on",IEEE,103,0
BLISS,"Bio-inspired Learning and Intelligent Systems for Security, 2007 ECSIS Symposium on",IEEE,104,0
BMAS,"Behavioral Modeling and Simulation Workshop,2005 IEEE International",IEEE,105,0
BMEI,"Biomedical Engineering And Informatics, 2008 International Conference On",IEEE,106,0
BNCOD,"Databases (BNCOD), 2007 Workshops of the 24th British National Conference on",IEEE,107,0
BROADNETS,"Broadband Communications, Networks & Systems, 2007 Fourth International Conference on",IEEE,108,0
BSN,"Wearable & Implantable Body Sensor Networks Conference (BSN), 2006",IEEE,109,0
BTAS,"Biometrics: Theory, Applications and Systems, 2007 First IEEE International Conference on",IEEE,110,0
C5,"Creating Connecting and Collaborating through Computing (C5), 2006 4th International Conference on",IEEE,111,0
CACSD,"Computer-Aided Control Systems Design, 2006 IEEE Conference on",IEEE,112,0
CADSM,"The Experience of Designing and Application of CAD Systems in Microelectronics, 2007 Proceedings of the 9th Intl Conf",IEEE,113,0
CAIDC,"Computer-Aided Industrial Design and Conceptual Design, 2006 7th International Conference on",IEEE,114,0
CAMAD,"Computer-Aided Modeling, Analysis and Design of Communication Links and Networks, 2006 11th International Workshop on",IEEE,115,0
CAMP,"Computer Architecture for Machine Perception and Sensing, 2006 International Workshop on",IEEE,116,0
CAMPSAP,"Computational Advances in Multi-Sensor Adaptive Processing, 2007 2nd IEEE International Workshop on",IEEE,117,0
CAOL,"Advanced Optoelectronics and Lasers, 2005 International Conference on",IEEE,118,0
CAS,"Semiconductor Conference, 2007 International",IEEE,119,0
CASE,"Automation Science and Engineering, 2007 IEEE International Conference on",IEEE,120,0
CBMI,"Content-Based Multimedia Indexing, 2007 International Workshop on",IEEE,121,0
CBMS,"Computer-Based Medical Systems (CBMS), 2006 Proceedings 19th IEEE International Symposium on",IEEE,122,0
CCA,"Control Applications, Proceedings of the 2006 IEEE International Conference on",IEEE,123,0
CCC,"Control Conference, 2006 Chinese ",IEEE,124,0
CCDC,"Control and Decision Conference, 2008 Chinese",IEEE,125,0
CCECD,"Electrical and Computer Engineering, 2007 Canadian Conference on",IEEE,126,0
CCECE,"Electrical and Computer Engineering, 2005 Canadian Conference on",IEEE,127,0
CCGRID,"Cluster Computing and the Grid (CCGrid), 2006 6th IEEE International Symposium on",IEEE,128,0
CCNC,"Consumer Communications and Networking Conference, 2007 4th IEEE",IEEE,129,0
CDC,"Decision and Control, Proceedings of the 45th IEEE Conference on",IEEE,130,0
CDE,"Electron Devices, 2007 Spanish Conference on",IEEE,131,0
CEC,"Evolutionary Computation, 2007 IEEE Congress on",IEEE,132,0
CEC Wkshp,"E-Commerce Technology Workshop, 2005 7th International on",IEEE,133,0
CEC-EEE,"E-Commerce Technology and Enterprise Computing E-Commerce and E-Services (CEC-EEE), 2006",IEEE,134,0
CEEM,"Environmental Electromagnetics, 2006 4th Asia-Pacific Conference on",IEEE,135,0
CEFC,"Electromagnetic Field Computation, 2006 12th Biennial IEEE Conference on",IEEE,136,0
CEIDP,"Electrical Insulation and Dielectric Phenomena, 2006 Annual Report Conference on",IEEE,137,0
CEM,"Computational Electromagnetics Workshop, 2007",IEEE,138,0
CERE,"Comparative Evaluation in Requirements Engineering (CERE), 2006 4th International Workshop on",IEEE,139,0
CERMA,"Electronics, Robotics and Automotive Mechanics Conference, 2006",IEEE,140,0
CGI,"Computer Graphics International (CGI), 2005",IEEE,141,0
CGIV,"Computer Graphics Imaging and Visualization (CGIV), 2006",IEEE,142,0
CGO,"Code Generation and Optimization (CGO), 2006 4th IEEE/ACM International Symposium on",IEEE,143,0
CHINACOM,"Communications and Networking in China, 2007 Second International Conference in",IEEE,144,0
CIBCB,"Computational Intelligence and Bioinformatics and Computational Biology, 2006 IEEE Symposium on",IEEE,145,0
CIC,"Computing (CIC), 2006 15th International Conference on",IEEE,146,0
CICC,"Custom Integrated Circuits Conference, 2005 IEEE",IEEE,147,0
CICLing,"Intelligent Text Processing and Computational Linguistics, Special Session (CICLing), 2007 Eighth International Conference on",IEEE,148,0
CIDM,"Computational Intelligence and Data Mining, 2007 IEEE Symposium on",IEEE,149,0
CIEP,"Power Electronics Congress - CIEP, 2006 IEEE International",IEEE,150,0
CIG,"Computational Intelligence and Games, 2007 IEEE Symposium on",IEEE,151,0
CIGRE,"Congestion Management in a Market Environment, 2005 CIGRE/IEEE PES International Symposium",IEEE,152,0
CIHSPS,"Computational Intelligence for Homeland Security and Personal Safety, 2006 IEEE International Conference on",IEEE,153,0
CIISP,"Computational Intelligence in Image and Signal Processing, 2007 IEEE Symposium on",IEEE,154,0
CIMA,"Computational Intelligence Methods and Applications (CIMA 2005), 2005 ICSC Congress on",IEEE,155,0
CIMCA,"Computational Intelligence for Modelling Control and Automation, 2005",IEEE,156,0
CIMSA,"Computational Intelligence for Measurement Systems and Applications, 2006 IEEE International Conference on",IEEE,157,0
CIRA,"Computational Intelligence in Robotics and Automation, 2007 International Symposium on",IEEE,158,0
CIS,"Computational Intelligence and Security (CIS), 2007 International Conference on",IEEE,159,0
CIS Workshops,"Computational Intelligence and Security Workshops (CIS Workshops), 2007 International Conference on",IEEE,160,0
CISched,"Computational Intelligence in Scheduling, 2007 IEEE Symposium on",IEEE,161,0
CISDA,"Computational Intelligence in Security and Defense Applications, 2007 IEEE Symposium on",IEEE,162,0
CISIM,"Computer Information Systems and Industrial Management Applications, 2007 6th International Conference on",IEEE,163,0
CISIS,"Complex Intelligent and Software Intensive Systems (CISIS), 2007 5th International Conference on",IEEE,164,0
CISP,"Congress on Image and Signal Processing, 2008 International",IEEE,165,0
CISS,"Information Sciences and Systems, 2006 40th Annual Conference on",IEEE,166,0
CIT,"Computer and Information Technology (CIT), 2006 6th International Conference on",IEEE,167,0
CLADE,"Large Applications in Distributed Environments, 2006 IEEE Challenges of",IEEE,168,0
CLEO,"Lasers & Electro-Optics, 2007 Conference on",IEEE,169,0
CLEO-PR,"Pacific Rim Conference on Lasers and Electro-Optics, 2005",IEEE,170,0
CLUSTER,"Cluster Computing (CLUSTER),  2007 IEEE International Conference on",IEEE,171,0
CMD,"Condition Monitoring and Diagnosis, 2008 International Conference on",IEEE,172,0
CME,"Complex Medical Engineering, 2007 IEEE/ICME International Conference on",IEEE,173,0
CMTC,"Current Measurement Technology, 2005 IEEE/OES 8th Working Conference on",IEEE,174,0
CMV,"Coordinated and Multiple Views in Exploratory Visualization, 2007 International Conference",IEEE,175,0
CNE,"Neural Engineering, 2005 2nd International IEEE/EMBS Conference on",IEEE,176,0
CNIC,"Neural Interface and Control, 2005 1st International Conference on",IEEE,177,0
CNNA,"Cellular Neural Networks and Their Applications, 2006 10th International Workshop on",IEEE,178,0
CNSR,"Communication Network and Services Research Conferences (CNSR), 2006",IEEE,179,0
CODES-ISSS,"Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2006 4th IEEE/ACM/IFIP International Conference on",IEEE,180,0
CogART,"Cognitive Radio and Advanced Spectrum Management, 2008 First International Workshop on",IEEE,181,0
COIN/ACOFT,"Optical Internet and Australian Conference on Optical Fibre Technology, 2007 the Joint International Conference on",IEEE,182,0
CollaborateCom,"Collaborative Computing: Networking, Applications and Worksharing, 2007 International Conference on",IEEE,183,0
COMCAS,"Microwaves, Communications, Antennas and Electronic Systems, 2008 IEEE International Conference on",IEEE,184,0
COMITE,"Microwave Techniques, 2008 14th Conference on",IEEE,185,0
COMMAD,"Optoelectronic Materials and Devices, 2006 Conference on",IEEE,186,0
COMPEL,"Computers in Power Electronics, 2006 10th IEEE Workshop on",IEEE,187,0
COMPSAC,"Computer Software and Applications Conference (COMPSAC), 2006 30th Annual International",IEEE,188,0
COMPSAC SUPPL,"Computer Software and Applications Conference Supplement (COMPSAC 2006 supplement), 2006 IEEE 30th International",IEEE,189,0
COMSWARE,"Communication Systems Software & Middleware, 2007 2nd International Conference on",IEEE,190,0
CONIELECOMP,"Electronics, Communications and Computer (CONIELECOMP), Proceedings 2006 16th International Conference on",IEEE,191,0
CONTEL,"Telecommunications, 2007 Proceedings of the 9th International Conference on",IEEE,192,0
CPE,"Compatibility in Power Electronics, 2007",IEEE,193,0
CRIMICO,"Microwave & Telecommunication Technology"", 2007 17th International Crimean Conference """,IEEE,194,0
CROWNCOM,"Cognitive Radio Oriented Wireless Networks and Communications, 2007 2nd International Conference on",IEEE,195,0
CROWNCON,"Cognitive Radio Oriented Wireless Networks and Communications, 2008 3rd International Conference on",IEEE,196,0
CRV,"Computer and Robot Vision (CRV), 2007 4th Canadian Conference on",IEEE,197,0
CSB,"Computational Sys Bioinformatics Conf, 2005 IEEE",IEEE,198,0
CSCWD,"Computer Supported Cooperative Work in Design, 2006 10th International Conference on",IEEE,199,0
CSEET,"Software Engineering Education and Training - (CSEET), 2007 IEEE 20th Conference on",IEEE,200,0
CSF,"Computer Security Foundations Symposium, 2007 IEEE 20th",IEEE,201,0
CSFW,"Computer Security Foundations Workshop (CSFW), 2006 IEEE 19th",IEEE,202,0
CSICS,"Compound Semiconductor Integrated Circuits Symposium, 2007 IEEE",IEEE,203,0
CSMR,"Software Maintenance and Reengineering (CSMR), 2006 10th European Conference on",IEEE,204,0
CSNDSP,"Communication Systems, Networks and Digital Signal Processing, 2008 6th International Symposium on",IEEE,205,0
CTRQ,"Communication Theory, Reliability,and Quality of Service CTRQ, 2008 International Conference on",IEEE,206,0
CTS,"Collaborative Technologies and Systems (CTS), 2006 International Symposium on",IEEE,207,0
CTTE,"Telecommunication Techno-Economics, 2007 6th Conference on",IEEE,208,0
CV4IIE,"Computer Vision for Interactive and Intelligent Environments (CV4IIE), 2005 Workshop on",IEEE,209,0
CVPR,"Computer Vision and Pattern Recognition (CVPR), 2007 IEEE Conference on",IEEE,210,0
CVPR WKSHP,"Computer Vision and Pattern Recognition Workshops (CVPR Workshops), 2006 IEEE Computer Society Conference on",IEEE,211,0
CW,"Cyberworlds (CW), 2006 International Conference on",IEEE,212,0
CWIT,"Information Theory, 2007 10th Canadian Workshop on",IEEE,213,0
D2H2,"Distributed Diagnosis & Home Healthcare (D2H2), 2006",IEEE,214,0
DAC,"Design Automation Conference, 2005 42nd ACM/IEEE",IEEE,215,0
Dagstuhl,"Visualization, 2005 Dagstuhl",IEEE,216,0
DASC,"Digital Avionics Systems Conference, 2006 IEEE/AIAA 25th",IEEE,217,0
DATE,"Design, Automation & Test in Europe Conference & Exhibition (DATE 2007), 2007",IEEE,218,0
DBT,"Defect Based Testing, 2005 IEEE Intl Wkshp on",IEEE,219,0
DCAS,"Circuits and Systems Workshop on System-on-Chip, 2007 6th IEEE Dallas",IEEE,220,0
DCC,"Data Compression Conference, 2006 (DCC 2006)",IEEE,221,0
DDECS,"Design and Diagnostics of Electronic Circuits and Systems (DDECS), 2006 IEEE",IEEE,222,0
DEEC,"Data Engineering Issues in E-Commerce, 2005 International Workshop on",IEEE,223,0
DELTA,"Electronic Design, Test and Applications (DELTA),  2006 IEEE International Workshop on",IEEE,224,0
DEMBS,"Engineering in Medicine and Biology Workshop, 2007 IEEE Dallas",IEEE,225,0
DEPCoS,"Dependability of Computer Systems (DepCoS), 2006 International Conference on",IEEE,226,0
DepCos-RELCOME,"Dependability of Computer Systems (DepCos-RELCOMEX), 2007 2nd International Conference on",IEEE,227,0
DEST,"Digital EcoSystems and Technologies Conference, 2007 Inaugural IEEE-IES",IEEE,228,0
DEXA,"Database and Expert Systems Applications (DEXA), 2006 17th International Conference on",IEEE,229,0
DFMA,"Distributed Frameworks for Multimedia Applications, 2006 2nd International Conference on",IEEE,230,0
DFT,"Defect and Fault Tolerance in VLSI Systems (DFT), 2006 21st IEEE International Symposium on",IEEE,231,0
DGTE,"Digital Games and Intelligent Toys-based Education (DGTE), 2007 IEEE International Workshop on",IEEE,232,0
DIAL,"Document Image Analysis for Libraries (DIAL), 2006",IEEE,233,0
DICTA,"Digital Image Computing Techniques & Applications, 2007",IEEE,234,0
DIPED,"Direct and Inverse Problems of Electromagnetic Acoustic Wave Theory, 2006 Proceedings of XIth International Seminar/Workshop on",IEEE,235,0
DMAMH,"Digital Media and Its Application in Museum and Heritage (DMAMH), 2007 Second Workshop on",IEEE,236,0
DoD HPCMP UGC,"DoD High Performance Computing Modernization Program Users Group Conference, 2007",IEEE,237,0
DRC,"Device Research Conference, 2006 64th Annual",IEEE,238,0
DRCN,"Design and Reliable Communication Networks, DRCN 2007 6th International Workshop on",IEEE,239,0
DRPT,"Electric Utility Deregulation and Restructuring and Power Technologies, 2008 Third International Conference on",IEEE,240,0
D-RT,"Distributed Simulation and Real-Time Applications DS-RT, Proceedings 2005 9th Intl Symposium on",IEEE,241,0
DSD,"Digital System Design: Architectures Methods and Tools (DSD), 2006 9th Euromicro Conference on",IEEE,242,0
DSN,"Dependable Systems & Networks, 2007 IEEE International Conference on",IEEE,243,0
DSP,"Digital Signal Processing, 2007 15th International Conference on",IEEE,244,0
DSRT,"Distributed Simulation & Real Time Applications (DSRT), 2006 10th IEEE/ACM International Symposium on",IEEE,245,0
DS-RT,"Distributed Simulation and Real Time Applications (DS-RT), 2007 11th IEEE/ACM International Symposium on",IEEE,246,0
DSSNS,"Dependability and Security in Sensor Networks and Systems (DSSNS 2006), 2006 2nd IEEE Workshop on",IEEE,247,0
DTIS,"Design & Technology of Integrated Systems in Nanoscale Era, 2007 International Conference on",IEEE,248,0
DySPAN,"New Frontiers in Dynamic Spectrum Access Networks, 2007 2nd IEEE International Symposium on",IEEE,249,0
E2EMON,"End-to-End Monitoring Techniques and Services, 2007 Workshop on",IEEE,250,0
EAEEIE,"EAEEIE Annual Conference, 2008 19th",IEEE,251,0
EARLYASPECTS,"Apsect-Oriented Requirements Engineering and Architecture Design, 2007 Workshop in",IEEE,252,0
EASE,"Autonomic and Autonomous Systems, 2006 IEEE 3rd Workshop on Engineering of",IEEE,253,0
ECBS,"Engineering of Computer Based Systems (ECBS), 2006 IEEE Symposium and Workshop on",IEEE,254,0
ECCTD,"Circuit Theory and Design, 2007 European Conference on",IEEE,255,0
ECOC,"Optical Communications Proceedings, 2006 European Conference on",IEEE,256,0
ECOWS,"Web Services, 2006 4th IEEE European Conference on",IEEE,257,0
ECRTS,"Real-Time Systems (ECRTS), 2006 18th Euromicro Conference on",IEEE,258,0
ECTC,"Electronic Components and Technology Conference, 2006 IEEE 56th",IEEE,259,0
ECTI-CON,"Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology, 2008 5th International Conference on",IEEE,260,0
ECUMN,"Universal Multiservice Networks (ECUMN), 2007 European Conference on",IEEE,261,0
ECWT,"Wireless Technologies, 2006 European Conference on",IEEE,262,0
EDCC,"Dependable Comuting Conference (EDCC), 2006 6th European",IEEE,263,0
EDM,"Electron Devices and Materials, 2006 International Workshops and Tutorials on",IEEE,264,0
EDOC,"Enterprise Distributed Object Computing Conference (EDOC), 2006 10th IEEE International",IEEE,265,0
EDOC Workshops,"Enterprise Distributed Object Computing Conference Workshops (EDOC workshops), 2006 10th IEEE International",IEEE,266,0
EDSSC,"Electron Devices and Solid- State Circuits, 2007 IEEE Conference on",IEEE,267,0
EDST,"Electron Devices and Semiconductor Technology, 2007 International Workshop on",IEEE,268,0
EEE,"e-Technology , e-Commerce and e-Service, 2005 IEEE International Conference on  (EEE 2005)",IEEE,269,0
EEIC,"Electrical Insulation Conference and Electrical Manufacturing Expo, 2007",IEEE,270,0
EEM,"Electricity Market, 2008 5th International Conference on the European",IEEE,271,0
EFTA,"Emerging Technologies &Factory Automation (ETFA 2005),  2005 IEEE Conference on",IEEE,272,0
EH,"Evolvable Hardware, 2005 NASA/DOD Conference on",IEEE,273,0
EIT,"Electro/Information Technology, 2006 IEEE International Conference on",IEEE,274,0
EITC,"Emerging Information Technology Conference, 2006",IEEE,275,0
ELMAR,"ELMAR, Proceedings 2006",IEEE,276,0
EMAP,"Electronics Materials and Packaging (EMAP 2005), 2005 International Symposium on",IEEE,277,0
EMBS,"Engineering in Medicine and Biology Society, 2006 Annual International Conference of the IEEE",IEEE,278,0
EMC,"Engineering Management Conference, 2006 IEEE-UT",IEEE,279,0
EML,"Electromagnetic Launch Technology, 2008 14th Symposium on",IEEE,280,0
EMNETS,"Embedded Networked Sensors, 2005 2nd IEEE Workshop on",IEEE,281,0
ENC,"Computer Science (ENC), 2006 7th Mexican International Conference on",IEEE,282,0
EOS,"Optical Society Annual Meeting, 2006 European",IEEE,283,0
EOS/ESD,"EOS/ESD Symposium, 2007 29th Annual International",IEEE,284,0
EPC,"Electrical Power Conf, 2007 IEEE Canada",IEEE,285,0
EPE,"Power Electronics and Applications - EPE 2007, 2007 European Conference on",IEEE,286,0
EPEP,"Performance of Electronic Packaging,  2007 IEEE Electrical",IEEE,287,0
EPE-PEMC,"Power Electronics and Motion Control Conference, 2006 12th International",IEEE,288,0
EPQU,"Electrical Power Quality and Utilisation, Proceedings of the 9th International Conference on",IEEE,289,0
EPTC,"Electronic Packaging Technology Conference, 2006 8th",IEEE,290,0
EQEC,"European Quantum Electronic, 2005",IEEE,291,0
ESC,"Economics of Software and Computation (ESC 2007), 2007 First International Workshop on the",IEEE,292,0
e-Science,"e-Science and Grid Computing, 2006 2nd IEEE International Conference on",IEEE,293,0
ESEM,"Empirical Software Engineering and Measurement (ESEM), 2007 1st International Symposium on",IEEE,294,0
ESMO,"ESMO 2006 - 2006 IEEE 11th International Conference on Transmission & Distribution Construction, Operation and Live-Line",IEEE,295,0
ESSCIRC,ESSCIRC 2006 - 32nd European Solid State Circuits Conf,IEEE,296,0
ESSDERC,"Solid State Device Research Conference, ESSDERC 2006 36th European",IEEE,297,0
ESTC,"Electronic System Integration Technology Conference, 2006 1st",IEEE,298,0
ESTIMEDIA,"Embedded Systems for Real Time Multimedia, Proceedings of the 2006 IEEE/ACM/IFIP Workshop on",IEEE,299,0
ESTS,"Electric Ship Technologies Symposium, 2007 IEEE",IEEE,300,0
ETC,"Emerging Technologies Conference, 2006 9th Annual IEEE",IEEE,301,0
ETFA,"Emerging Technologies and Factory Automation, 2007 IEEE Conference on",IEEE,302,0
ETS,"Test Symposium (ETS), 2006 11th IEEE European",IEEE,303,0
EUCAP,"Antennas and Propagation, Proceedings of the First European Conference on",IEEE,304,0
EUMC,"Microwave Conference, 2006 European",IEEE,305,0
EUMIC,"Microwave Integrated Circuits Conference, 2007 European",IEEE,306,0
EURAD,"Radar Conference, 2006 European",IEEE,307,0
EUROCON,"EUROCON 2007 - The International Conference on ""Computer as a Tool""",IEEE,308,0
EUROSIME,"Thermal, Mechanical & Multi-Physics Simulation and Experiments in Microelectronics & Micr System, 2007 International Conference on",IEEE,309,0
EuroSimeE,"Thermal, Mechanical and Multi-Physics Simulation and Experiments in Microelectronics and Microsystems, 2008 International",IEEE,310,0
EUWIT,"Wireless Technology, Proceedings of the 2008 European Conference on",IEEE,311,0
EWSN,"Wireless Sensor Networks, 2005 2nd European Workshop on",IEEE,312,0
FBIT,"Frontiers in the Convergence of Bioscience and Information Technologies (FBIT 2007), 2007",IEEE,313,0
FCCM,"Field Programmable Custom Computing Machines (FCCM), 2006 14th Annual IEEE Symposium on",IEEE,314,0
FCST,"Frontier of Computer Science & Technology (FCST), 2006 Japan-China Joint Workshop on",IEEE,315,0
FDL,"Specification, Verification and Design Languages (FDL), 2008 Forum on",IEEE,316,0
FDTC,"Fault Diagnosis and Tolerence Cryptography, 2007 Workshop on",IEEE,317,0
FG,"Automatic Face & Gesture Recognition, 2008 8th IEEE International Conference on",IEEE,318,0
FGCN,"Future Generation Communication and Networking (FGCN), 2007 International Conference on",IEEE,319,0
FGR,"Automatic Face and Gesture Recognition (FGR), Proceedings 2006 7th International Conference on",IEEE,320,0
FIE,"Frontiers in Education Conference, 2005 IEEE",IEEE,321,0
